2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 8: 49 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 9: 48 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 10: 46 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 11: 46 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 12: 45 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 13: 44 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 14: 42 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 15: 42 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 16: 41 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 17: 40 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 18: 39 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 19: 37 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 20: 37 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 21: 36 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 22: 35 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 23: 34 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 24: 33 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 25: 50 chars
2026-01-20 13:34:46 | edumind.text_chunker | INFO     | text_chunker.py:98 | Split text into 25 chunks (avg: 38 chars)
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 1: 49 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 2: 48 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 3: 47 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 4: 46 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 5: 44 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 6: 49 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 7: 48 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 8: 47 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 9: 46 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 10: 44 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 11: 49 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 12: 48 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 13: 47 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 14: 46 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 15: 44 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 16: 49 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 17: 48 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 18: 47 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 19: 46 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 20: 44 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 21: 49 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 22: 48 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 23: 47 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 24: 46 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 25: 44 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 26: 49 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 27: 48 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 28: 47 chars
